REG_ID,SEC_CUR_STAT,SEC_NAME,SEC_TITLE,Days,Time,Faculty,SeatsAvailableScheduledCapacity,CR_MIN,CR_MAX,Textbox8
90921,Active,MAT-115-01,Introduction to Statistics,MWF  ,2:30 PM  - 3:50 PM  ,"Olsen, Anna H ",-3 /28 ,4.00000,,RECORD COUNT 702
90910,Active,MAT-124-01,Functions & Integral Calculus,MWF  ,8:00 AM  - 8:50 AM  ,"Shuman, Karen ",28 /32 ,4.00000,,RECORD COUNT 702
90911,Active,MAT-131-01,Calculus I,MWF  ,10:00 AM - 11:20 AM  ,"Ruiter, Joshua ",10 /32 ,4.00000,,RECORD COUNT 702
91987,Active,MAT-131-02,Calculus I,MWF  ,8:30 AM  - 9:50 AM  ,"Ruiter, Joshua ",11 /32 ,4.00000,,RECORD COUNT 702
90912,Active,MAT-133-01,Calculus II,MWF  ,8:30 AM  - 9:50 AM  ,"Wolf, A Royce ",10 /32 ,4.00000,,RECORD COUNT 702
90913,Active,MAT-133-02,Calculus II,MWF  ,10:00 AM - 11:20 AM  ,"Herstedt, Paul ",22 /32 ,4.00000,,RECORD COUNT 702
90920,Active,MAT-133-03,Calculus II,MWF  ,1:00 PM  - 2:20 PM  ,"Hebbar, Pratima ",0  /32 ,4.00000,,RECORD COUNT 702
90861,Active,MAT-208-01,Discrete Structures,TTH  ,2:00 PM  - 3:50 PM  ,"Osera, Peter-Michael Santos ",-8 /20 ,4.00000,,RECORD COUNT 702
90914,Active,MAT-215-01,Linear Algebra,MWF  ,9:00 AM  - 9:50 AM  ,"Chamberland, Marc A ",6  /28 ,4.00000,,RECORD COUNT 702
90915,Active,MAT-215-02,Linear Algebra,MWF  ,1:00 PM  - 1:50 PM  ,"Chamberland, Marc A ",4  /28 ,4.00000,,RECORD COUNT 702
90916,Cancelled,MAT-215-03,Linear Algebra,MWF  ,2:00 PM  - 2:50 PM  ,"Wolf, A Royce ",28 /28 ,4.00000,,RECORD COUNT 702
91496,Active,MAT-218-01,Elementary Number Theory,MWF  ,10:00 AM - 10:50 AM  ,"Wolf, A Royce ",1  /20 ,4.00000,,RECORD COUNT 702
91749,Active,MAT-218-02,A 2nd Course in Linear Algebra,T TH,10:00 AM - 11:50 AM 10:00 AM - 10:50 AM,"Shuman, Karen ",14 /20 ,4.00000,,RECORD COUNT 702
91314,Cancelled,MAT-218-02,Geometry,T TH,10:00 AM - 11:50 AM 10:00 AM - 10:50 AM,"Shuman, Karen ",20 /20 ,4.00000,,RECORD COUNT 702
90917,Active,MAT-220-01,Differential Equations,MWF  ,11:00 AM - 11:50 AM  ,"Hebbar, Pratima ",9  /28 ,4.00000,,RECORD COUNT 702
91346,Active,MAT-314-01,Compressed Sensing,TTH  ,8:30 AM  - 9:50 AM  ,"Blanchard, Jeffrey D ",17 /20 ,4.00000,,RECORD COUNT 702
90918,Active,MAT-316-01,Foundations of Analysis,MWF  ,3:00 PM  - 3:50 PM  ,"Herstedt, Paul ",13 /20 ,4.00000,,RECORD COUNT 702
92008,Active,MAT-316-02,Foundations of Analysis,MWF  ,9:00 AM  - 9:50 AM  ,"Herstedt, Paul ",12 /20 ,4.00000,,RECORD COUNT 702
90919,Active,MAT-321-01,Foundatns of Abstract Algebra,MWF  ,2:00 PM  - 2:50 PM  ,"Mileti, Joseph ",2  /20 ,4.00000,,RECORD COUNT 702
91313,Active,MAT-322-01,Algebraic Graph Theory,TTH  ,8:00 AM  - 9:50 AM  ,"French, Christopher P ",4  /12 ,4.00000,,RECORD COUNT 702
91284,Active,MAT-322-02,Algebraic Graph Theory,TTH  ,2:00 PM  - 3:50 PM  ,"French, Christopher P ",7  /12 ,4.00000,,RECORD COUNT 702
91539,Active,MAT-330-01,Applied Data Science,TTH  ,8:30 AM  - 9:50 AM  ,"Miller, Ryan ",4  /12 ,4.00000,,RECORD COUNT 702
90932,Active,MAT-336-01,Probability & Statistics II,MWF  ,1:00 PM  - 1:50 PM  ,"Wells, Jonathan M ",1  /25 ,4.00000,,RECORD COUNT 702
91513,Active,MUS-101-01,Balinese Sound Ensemble,TTH  ,4:00 PM  - 6:00 PM  ,"Hiranmayena, I Putu Tangkas Adi ",49 /50 ,1.00000,,RECORD COUNT 702
91150,Active,MUS-101-02,Oratorio Society,M  ,7:00 PM  - 9:00 PM  ,"Boggs, Joshua D ",50 /50 ,1.00000,,RECORD COUNT 702
91151,Active,MUS-101-03,Collegium Musicum,AR  ,,"Brown, Jennifer Williams ",50 /50 ,1.00000,,RECORD COUNT 702
91152,Active,MUS-101-04,Grinnell Singers,TTH  ,4:00 PM  - 6:00 PM  ,"Boggs, Joshua D ",38 /50 ,1.00000,,RECORD COUNT 702
91153,Active,MUS-101-06,Grinnell Symphony Orchestra,MW W,4:30 PM  - 6:00 PM 7:00 PM  - 9:00 PM ,"McIntyre, Eric L ",39 /50 ,1.00000,,RECORD COUNT 702
91154,Active,MUS-101-07,Latin American Ensemble,T  ,7:00 PM  - 9:00 PM  ,"Espinosa, Gabriel ",47 /50 ,1.00000,,RECORD COUNT 702
91155,Active,MUS-101-08,"Percussn, Mrmba, Steel Pan Ens",T  ,7:00 PM  - 9:00 PM  ,"Ramirez, Stacey ",50 /50 ,1.00000,,RECORD COUNT 702
91156,Active,MUS-101-09,Fresh Flutes,TH  ,4:15 PM  - 5:45 PM  ,"Anderson, Claudia ",50 /50 ,1.00000,,RECORD COUNT 702
91157,Active,MUS-101-10,YGB Gospel Choir,W  ,7:00 PM  - 8:30 PM  ,"Jones, Barry V ",47 /50 ,1.00000,,RECORD COUNT 702
91158,Active,MUS-101-14,Chamber Ensembles,T  ,7:00 PM  - 9:00 PM  ,"Finkelshteyn, Tracy V ",47 /50 ,1.00000,,RECORD COUNT 702
91159,Active,MUS-101-17,Jazz Ensemble,TTH  ,4:30 PM  - 6:30 PM  ,"Laver, Mark ",49 /50 ,1.00000,,RECORD COUNT 702
91160,Active,MUS-101-19,Symphonic Band,TH  ,7:00 PM  - 9:00 PM  ,"Metzger, Kara L ",48 /50 ,1.00000,,RECORD COUNT 702
91161,Active,MUS-101-20,Zimbabwean Mbira Ensemble,MW  ,4:00 PM  - 6:00 PM  ,"Perman, Tony ",11 /12 ,1.00000,,RECORD COUNT 702
91162,Active,MUS-112-01,Music Theory I,TTH  ,1:00 PM  - 2:20 PM  ,"Cha, Jee-Weon ",19 /22 ,4.00000,,RECORD COUNT 702
91163,Active,MUS-112L-01,Music Theory I Lab,T  ,10:00 AM - 10:50 AM  ,"Boggs, Joshua D ",10 /11 ,0.00000,,RECORD COUNT 702
91164,Active,MUS-112L-02,Music Theory I Lab,T  ,3:00 PM  - 3:50 PM  ,"Boggs, Joshua D ",9  /11 ,0.00000,,RECORD COUNT 702
